"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
7.843287273E1,6.150445062E1,2.360992521E1,1.171392272E2,1.549999952E0,8.840000153E1,3.790092468E0,2.500000000E0
7.943276841E1,6.150445115E1,2.360995323E1,1.170123979E2,1.559999943E0,8.809999847E1,3.790092468E0,2.500000000E0
8.043263627E1,6.150445162E1,2.360998280E1,1.167533055E2,1.610000014E0,8.680000305E1,3.790092468E0,2.500000000E0
8.143255049E1,6.150445201E1,2.361001304E1,1.168355826E2,1.600000024E0,8.750000000E1,3.790092468E0,2.500000000E0
8.243241742E1,6.150445252E1,2.361004331E1,1.166031016E2,1.610000014E0,8.769999695E1,3.790092468E0,2.500000000E0
8.343285549E1,6.150445277E1,2.361007345E1,1.164436183E2,1.610000014E0,8.859999847E1,3.790092468E0,2.500000000E0
8.443328742E1,6.150445271E1,2.361010373E1,1.164501505E2,1.610000014E0,8.919999695E1,3.790092468E0,2.500000000E0
8.543327028E1,6.150445188E1,2.361013634E1,1.163305835E2,1.710000038E0,8.969999695E1,3.790092468E0,2.500000000E0
8.643309210E1,6.150445097E1,2.361016963E1,1.161749448E2,1.669999957E0,9.000000000E1,3.790092468E0,2.500000000E0
8.743294122E1,6.150444985E1,2.361019914E1,1.158521304E2,1.389999986E0,9.080000305E1,3.790092468E0,2.500000000E0
8.843299570E1,6.150444912E1,2.361022868E1,1.157297557E2,1.600000024E0,8.990000153E1,3.790092468E0,2.500000000E0
8.943325314E1,6.150444858E1,2.361026045E1,1.156892295E2,1.649999976E0,8.959999847E1,3.790092468E0,2.500000000E0
9.043259872E1,6.150444811E1,2.361029194E1,1.156366183E2,1.629999995E0,8.930000305E1,3.790092468E0,2.500000000E0
9.143245299E1,6.150444776E1,2.361032240E1,1.155055770E2,1.549999952E0,9.009999847E1,3.790092468E0,2.500000000E0
9.243260648E1,6.150444713E1,2.361035253E1,1.155104608E2,1.570000052E0,9.040000153E1,3.790092468E0,2.500000000E0
9.343255132E1,6.150444629E1,2.361038406E1,1.154415530E2,1.620000005E0,9.030000305E1,3.790092468E0,2.500000000E0
